,Input_Features,F_score,P_Value
7807,208304_at,86.68300966139,2.8548508243908952e-18
12215,212831_at,87.13042753370566,2.620607368075154e-18
13106,213727_x_at,87.38888556764039,2.494603911446766e-18
17399,218035_s_at,87.47972207277554,2.4518496401399065e-18
1033,201506_at,87.69608234702156,2.3530954300349222e-18
21981,41469_at,87.9390347535193,2.247180641003258e-18
9452,209967_s_at,88.46072764630219,2.036366640636669e-18
15191,215819_s_at,88.65725099928311,1.962450498659857e-18
6777,207253_s_at,88.8516243084371,1.892119698464941e-18
9278,209791_at,90.08046890659735,1.5047342508562132e-18
